# energy/N    magnetization    seed 
-0.4976    0.0016    1692387708.54669 
-0.5108    -0.036    1692387708.552358 
-0.51    0.004    1692387708.5579803 
-0.5356    -0.0136    1692387708.5635297 
-0.4352    -0.0208    1692387708.5692432 
-0.468    0.048    1692387708.574811 
-0.5024    0.0112    1692387708.580364 
-0.4956    -0.02    1692387708.5860775 
-0.4268    -0.0024    1692387708.591694 
-0.5568    -0.0176    1692387708.5972223 
-0.488    -0.0048    1692387708.6029205 
-0.4208    -0.0272    1692387708.6085238 
-0.4948    0.02    1692387708.6141002 
-0.5364    0.0216    1692387708.619813 
-0.5292    -0.0296    1692387708.6254096 
-0.5268    -0.012    1692387708.6308882 
-0.4968    -0.0128    1692387708.63661 
-0.4816    0.0112    1692387708.6422124 
-0.556    -0.016    1692387708.647789 
-0.5168    0.0048    1692387708.6535256 
-0.5396    -0.0024    1692387708.659166 
-0.48    0.008    1692387708.6647053 
-0.5032    -0.0096    1692387708.6704288 
-0.504    0.0112    1692387708.6759782 
-0.4904    0.0256    1692387708.681527 
-0.4528    -0.008    1692387708.6872263 
-0.488    0.0304    1692387708.6929145 
-0.48    -0.0208    1692387708.6984503 
-0.5792    -0.0272    1692387708.7041712 
-0.4992    0.0048    1692387708.709722 
-0.4824    0.0064    1692387708.7152836 
-0.5612    0.0456    1692387708.7210164 
-0.468    0.0224    1692387708.7265797 
-0.5128    -0.0224    1692387708.7321093 
-0.5412    0.0008    1692387708.7378266 
-0.4852    0.0104    1692387708.743443 
-0.4884    -0.004    1692387708.7490046 
-0.522    0.012    1692387708.7547088 
-0.4592    -0.0048    1692387708.7603006 
-0.5288    -0.0096    1692387708.7658343 
-0.622    0.0136    1692387708.771592 
-0.4976    0.0048    1692387708.7771 
-0.4628    -0.0168    1692387708.7826414 
-0.4644    0.0104    1692387708.788418 
-0.4708    -0.0056    1692387708.7940667 
-0.4964    0.0104    1692387708.79965 
-0.5156    0.0104    1692387708.805357 
-0.528    0.0464    1692387708.8109078 
-0.54    0.0224    1692387708.8164153 
-0.4376    -0.0352    1692387708.8221452 
-0.5176    0.0352    1692387708.8276956 
-0.4768    -0.0496    1692387708.8332527 
-0.458    -0.0296    1692387708.8390052 
-0.4848    0.0144    1692387708.8445532 
-0.4764    -0.004    1692387708.8501065 
-0.5108    0.0008    1692387708.8559086 
-0.47    -0.004    1692387708.8614419 
-0.4716    -0.004    1692387708.8670437 
-0.5432    0.0352    1692387708.87273 
-0.4812    -0.0024    1692387708.8782964 
-0.5156    0.0088    1692387708.883872 
-0.51    0.0184    1692387708.8896005 
-0.5184    0.024    1692387708.8951652 
-0.4812    -0.004    1692387708.9007826 
-0.5004    0.0024    1692387708.9064667 
-0.53    0.0152    1692387708.912197 
-0.4408    0.0416    1692387708.9177992 
-0.4664    -0.0224    1692387708.923511 
-0.5204    0.0056    1692387708.9290733 
-0.5088    -0.0144    1692387708.9346962 
-0.462    -0.0136    1692387708.9403853 
-0.48    -0.008    1692387708.9459803 
-0.486    0.02    1692387708.9516222 
-0.5028    0.004    1692387708.9572914 
-0.5112    -0.0064    1692387708.9628842 
-0.4916    -0.0136    1692387708.9685564 
-0.456    0.0592    1692387708.97421 
-0.5224    -0.016    1692387708.9798136 
-0.4912    -0.0112    1692387708.9854693 
-0.4792    0.0256    1692387708.9911451 
-0.4876    -0.028    1692387708.9966762 
-0.4876    0.0008    1692387709.002316 
-0.4892    0.0024    1692387709.0081682 
-0.4548    0.004    1692387709.0137837 
-0.4656    -0.024    1692387709.019549 
-0.4692    -0.0232    1692387709.025249 
-0.4688    -0.0272    1692387709.0307846 
-0.5752    0.016    1692387709.036469 
-0.4804    0.0136    1692387709.042101 
-0.4944    0.0176    1692387709.047723 
-0.5068    -0.0168    1692387709.053359 
-0.5052    0.0312    1692387709.0589876 
-0.468    -0.048    1692387709.0645046 
-0.54    -0.0096    1692387709.0702026 
-0.4932    -0.0328    1692387709.0758212 
-0.4672    0.0144    1692387709.0813782 
-0.5068    0.004    1692387709.0870106 
-0.4732    0.0216    1692387709.0926678 
-0.4924    -0.0008    1692387709.0982015 
-0.5072    0.008    1692387709.1039531 
-0.4828    -0.0568    1692387709.109589 
-0.5264    0.0208    1692387709.1151943 
-0.4696    0.016    1692387709.1208735 
-0.4992    -0.0208    1692387709.1264439 
-0.4936    -0.0128    1692387709.1319818 
-0.43    -0.0072    1692387709.1376803 
-0.5484    0.0328    1692387709.1432772 
-0.556    -0.0512    1692387709.148798 
-0.4988    -0.0216    1692387709.15449 
-0.4716    -0.0024    1692387709.1600912 
-0.4872    0.0128    1692387709.1656058 
-0.5016    0.0416    1692387709.171294 
-0.5192    -0.0352    1692387709.1768553 
-0.4972    -0.0088    1692387709.1824238 
-0.4988    0.0344    1692387709.1881006 
-0.5232    0.0272    1692387709.1937304 
-0.5088    0.008    1692387709.1992893 
-0.476    0.0064    1692387709.2050135 
-0.4852    -0.0008    1692387709.210553 
-0.5076    0.0216    1692387709.2161016 
-0.5372    -0.004    1692387709.2217731 
-0.5292    -0.036    1692387709.227409 
-0.5824    0.0144    1692387709.2329555 
-0.5272    0.0096    1692387709.2386765 
-0.5236    -0.0088    1692387709.2443373 
-0.4684    -0.0184    1692387709.249906 
-0.5012    0.0264    1692387709.2556813 
-0.4596    0.0104    1692387709.261228 
-0.48    0.008    1692387709.266772 
-0.4836    0.0168    1692387709.2724786 
-0.4984    -0.0608    1692387709.278039 
-0.4576    0.0208    1692387709.2836077 
-0.5096    0.0    1692387709.2892992 
-0.4868    -0.0328    1692387709.2949378 
-0.4572    -0.0344    1692387709.3004713 
-0.4584    0.0224    1692387709.3062007 
-0.5784    -0.0192    1692387709.3117235 
-0.512    -0.0368    1692387709.3173044 
-0.5604    -0.012    1692387709.3229952 
-0.4672    -0.0016    1692387709.3285856 
-0.4736    -0.024    1692387709.3341208 
-0.494    0.0088    1692387709.3398886 
-0.5252    -0.02    1692387709.3454373 
-0.51    0.0136    1692387709.3510363 
-0.4432    0.0144    1692387709.3567362 
-0.484    0.0096    1692387709.3623326 
-0.472    0.0016    1692387709.367912 
-0.4868    -0.0056    1692387709.3736346 
-0.502    -0.0168    1692387709.379197 
-0.5144    -0.016    1692387709.3847861 
-0.4948    -0.0104    1692387709.3904934 
-0.4632    0.0064    1692387709.3961058 
-0.4996    -0.0024    1692387709.4016294 
-0.5204    -0.0104    1692387709.4074059 
-0.506    0.0024    1692387709.412935 
-0.4476    -0.012    1692387709.4185174 
-0.4888    0.0224    1692387709.4242337 
-0.5104    0.024    1692387709.429789 
-0.4768    -0.024    1692387709.4353302 
-0.5468    -0.0168    1692387709.4410906 
-0.5644    0.0296    1692387709.4466424 
-0.4844    -0.0312    1692387709.4522035 
-0.4808    -0.0096    1692387709.4579184 
-0.5228    0.0232    1692387709.4634855 
-0.5336    -0.0064    1692387709.4693558 
-0.464    -0.0112    1692387709.4752612 
-0.5376    -0.0176    1692387709.4809346 
-0.4908    -0.0184    1692387709.486602 
-0.4992    -0.0016    1692387709.492294 
-0.5316    0.0216    1692387709.497895 
-0.4796    0.0168    1692387709.5035152 
-0.4884    0.02    1692387709.509253 
-0.5404    0.004    1692387709.5149684 
-0.5168    -0.0304    1692387709.5206141 
-0.4852    0.02    1692387709.52628 
-0.4768    0.024    1692387709.5318642 
-0.5236    0.012    1692387709.537471 
-0.5236    0.028    1692387709.543134 
-0.5496    0.0192    1692387709.54869 
-0.51    0.0136    1692387709.5543787 
-0.4648    -0.0352    1692387709.5599866 
-0.496    0.0048    1692387709.5655634 
-0.522    0.0056    1692387709.5711749 
-0.5372    -0.0264    1692387709.5768707 
-0.5584    0.0112    1692387709.5824075 
-0.578    0.0168    1692387709.5880938 
-0.51    -0.0248    1692387709.5936942 
-0.484    0.0256    1692387709.5993261 
-0.5032    -0.0128    1692387709.6049767 
-0.4964    -0.0216    1692387709.6108048 
-0.4524    0.0072    1692387709.6165814 
-0.498    -0.0184    1692387709.6223533 
-0.4912    -0.008    1692387709.6280549 
-0.5084    -0.0152    1692387709.6336663 
-0.5112    0.0064    1692387709.6393604 
-0.46    -0.0032    1692387709.64498 
-0.538    -0.0072    1692387709.6505332 
-0.4704    0.0112    1692387709.6562963 
-0.57    -0.0248    1692387709.6618912 
-0.4576    0.0112    1692387709.6677108 
-0.5    0.0    1692387709.6734517 
-0.5176    -0.016    1692387709.6791456 
-0.5304    -0.0064    1692387709.684682 
-0.4764    0.0216    1692387709.6904356 
-0.506    -0.028    1692387709.6962905 
-0.4936    -0.0192    1692387709.7018871 
-0.5384    0.0032    1692387709.7076747 
