# mcs  energy  magnetization 
867  -0.8464  0.1042 
868  -0.8332  0.0674 
869  -0.8168  0.0664 
870  -0.8508  0.1072 
871  -0.8468  0.0788 
872  -0.8176  0.0428 
873  -0.8336  0.0574 
874  -0.8312  0.0408 
875  -0.8112  0.0068 
876  -0.8372  0.0166 
877  -0.8268  0.0062 
878  -0.8144  0.0004 
879  -0.8196  0.0026 
880  -0.8108  -0.0234 
881  -0.8044  -0.0164 
882  -0.8204  -0.0062 
883  -0.832  0.034 
884  -0.8316  -0.0194 
885  -0.7988  -0.0424 
886  -0.8296  -0.0224 
887  -0.8288  -0.048 
888  -0.8236  -0.0694 
889  -0.8148  -0.066 
890  -0.8096  -0.0242 
891  -0.8024  -0.0102 
892  -0.818  0.0126 
893  -0.8352  0.0206 
894  -0.8328  0.0286 
895  -0.8  0.0346 
896  -0.82  0.0358 
897  -0.8428  0.0138 
898  -0.8296  0.0162 
899  -0.8104  -0.02 
900  -0.8172  -0.0312 
901  -0.8028  -0.018 
902  -0.8076  -0.0164 
903  -0.7984  -0.0182 
904  -0.8304  -0.016 
905  -0.8148  -0.0028 
906  -0.7964  0.0044 
907  -0.8204  0.02 
908  -0.8164  -0.0092 
909  -0.8128  -0.0144 
910  -0.7896  0.0228 
911  -0.8272  0.035 
912  -0.8268  0.0472 
913  -0.8392  0.0222 
914  -0.8564  0.042 
915  -0.8396  0.0274 
916  -0.8232  0.0448 
917  -0.8096  0.048 
918  -0.818  0.0312 
919  -0.8096  -0.0008 
920  -0.8096  0.0044 
921  -0.8008  0.034 
922  -0.7924  0.0056 
923  -0.8136  0.0068 
924  -0.7944  0.0054 
925  -0.8032  0.0444 
926  -0.7992  0.0122 
927  -0.802  0.0482 
928  -0.812  0.0014 
929  -0.8064  -0.01 
930  -0.8024  -0.0604 
931  -0.8124  -0.0472 
932  -0.8156  -0.024 
933  -0.8264  -0.0922 
934  -0.8084  -0.0788 
935  -0.8036  -0.0712 
936  -0.7836  -0.0274 
937  -0.8072  -0.0124 
938  -0.7824  0.0358 
939  -0.8056  0.0516 
940  -0.8164  0.0392 
941  -0.8104  0.043 
942  -0.8044  0.002 
943  -0.82  -0.038 
944  -0.798  -0.0332 
945  -0.8024  -0.0498 
946  -0.788  -0.0612 
947  -0.788  -0.0872 
948  -0.8176  -0.0704 
949  -0.8128  -0.0546 
950  -0.8292  -0.0408 
951  -0.8492  -0.0392 
952  -0.7988  -0.0214 
953  -0.8124  -0.0208 
954  -0.8068  -0.0298 
955  -0.7996  -0.0136 
956  -0.8176  -0.0082 
957  -0.8084  0.005 
958  -0.808  0.0162 
959  -0.8488  0.0126 
960  -0.844  0.034 
961  -0.8324  0.0326 
962  -0.8264  0.0508 
963  -0.8148  0.0094 
964  -0.8128  0.0168 
965  -0.8152  0.0096 
