# mcs  energy  magnetization 
705  -1.734  -0.9016 
706  -1.7132  -0.8976 
707  -1.7348  -0.9078 
708  -1.72  -0.8992 
709  -1.7492  -0.9118 
710  -1.7852  -0.928 
711  -1.7396  -0.912 
712  -1.7472  -0.9128 
713  -1.7424  -0.911 
714  -1.7456  -0.9108 
715  -1.7424  -0.9106 
716  -1.7316  -0.909 
717  -1.7316  -0.9094 
718  -1.7508  -0.9202 
719  -1.7612  -0.9212 
720  -1.7492  -0.9156 
721  -1.7412  -0.9128 
722  -1.7472  -0.9092 
723  -1.7248  -0.8928 
724  -1.7248  -0.8968 
725  -1.7244  -0.904 
726  -1.732  -0.9058 
727  -1.7532  -0.9138 
728  -1.7432  -0.9128 
729  -1.732  -0.9078 
730  -1.7608  -0.9212 
731  -1.7508  -0.9186 
732  -1.7516  -0.9168 
733  -1.7424  -0.909 
734  -1.7508  -0.9108 
735  -1.7548  -0.9168 
736  -1.7668  -0.922 
737  -1.7564  -0.9248 
738  -1.7324  -0.9084 
739  -1.7612  -0.9186 
740  -1.7504  -0.9146 
741  -1.7672  -0.9204 
742  -1.7448  -0.9116 
743  -1.7648  -0.9276 
744  -1.732  -0.9078 
745  -1.7376  -0.911 
746  -1.7428  -0.9132 
747  -1.7748  -0.9254 
748  -1.778  -0.9264 
749  -1.7636  -0.9228 
750  -1.746  -0.9148 
751  -1.7408  -0.9108 
752  -1.7536  -0.9138 
753  -1.7276  -0.9062 
754  -1.7516  -0.9146 
755  -1.7272  -0.9052 
756  -1.754  -0.914 
757  -1.7364  -0.9058 
758  -1.7136  -0.8984 
759  -1.6984  -0.893 
760  -1.7452  -0.907 
761  -1.7164  -0.8942 
762  -1.738  -0.9068 
763  -1.7432  -0.9108 
764  -1.758  -0.92 
765  -1.754  -0.9166 
766  -1.7308  -0.911 
767  -1.7384  -0.9092 
768  -1.7512  -0.9194 
769  -1.7548  -0.92 
770  -1.7652  -0.9244 
771  -1.7404  -0.917 
772  -1.732  -0.9094 
773  -1.7404  -0.9096 
774  -1.7332  -0.9116 
775  -1.7612  -0.9218 
776  -1.7524  -0.9188 
777  -1.7416  -0.9144 
778  -1.7596  -0.9214 
779  -1.7612  -0.923 
780  -1.7444  -0.9154 
781  -1.7396  -0.9152 
782  -1.7424  -0.909 
783  -1.716  -0.9022 
784  -1.7368  -0.9086 
785  -1.7368  -0.9108 
786  -1.7232  -0.903 
787  -1.7036  -0.8954 
788  -1.7432  -0.911 
789  -1.7408  -0.9082 
790  -1.7284  -0.9022 
791  -1.7216  -0.9056 
792  -1.7188  -0.9056 
793  -1.7492  -0.9068 
794  -1.7416  -0.9092 
795  -1.7536  -0.9106 
796  -1.736  -0.9078 
797  -1.7388  -0.9142 
798  -1.7584  -0.9172 
799  -1.7656  -0.9188 
800  -1.726  -0.9038 
801  -1.764  -0.913 
802  -1.7488  -0.912 
803  -1.728  -0.9082 
804  -1.7308  -0.9096 
805  -1.7568  -0.9138 
806  -1.7516  -0.9108 
807  -1.738  -0.9054 
808  -1.7316  -0.9068 
809  -1.764  -0.921 
810  -1.7908  -0.9298 
811  -1.7824  -0.9288 
812  -1.7868  -0.9328 
813  -1.7916  -0.9336 
814  -1.7808  -0.9302 
815  -1.7596  -0.917 
816  -1.7552  -0.9176 
817  -1.764  -0.9212 
818  -1.7556  -0.914 
819  -1.7468  -0.9152 
820  -1.7396  -0.9142 
821  -1.7596  -0.9158 
822  -1.764  -0.917 
823  -1.7676  -0.9154 
824  -1.7548  -0.9146 
825  -1.7508  -0.9162 
826  -1.7456  -0.9076 
827  -1.7228  -0.901 
828  -1.7216  -0.8998 
829  -1.7412  -0.9076 
830  -1.7528  -0.9128 
831  -1.766  -0.9146 
832  -1.7732  -0.9196 
833  -1.7684  -0.9168 
834  -1.7884  -0.9302 
835  -1.7736  -0.9266 
836  -1.7528  -0.9226 
837  -1.752  -0.9216 
838  -1.7276  -0.9024 
839  -1.726  -0.9004 
840  -1.732  -0.896 
841  -1.7424  -0.8982 
842  -1.7096  -0.8824 
843  -1.756  -0.8964 
844  -1.7212  -0.892 
845  -1.7204  -0.8894 
846  -1.7016  -0.8792 
847  -1.7056  -0.8808 
848  -1.742  -0.9022 
849  -1.73  -0.8998 
850  -1.7568  -0.9158 
851  -1.734  -0.9126 
852  -1.732  -0.9076 
853  -1.7388  -0.9088 
854  -1.7232  -0.903 
855  -1.7388  -0.9092 
856  -1.7396  -0.9048 
857  -1.7268  -0.8998 
858  -1.7332  -0.9038 
859  -1.722  -0.9022 
860  -1.776  -0.924 
861  -1.7652  -0.918 
862  -1.7296  -0.9056 
863  -1.7452  -0.9142 
864  -1.7792  -0.926 
865  -1.7436  -0.912 
866  -1.7312  -0.9138 
867  -1.7576  -0.9204 
868  -1.756  -0.9176 
869  -1.7668  -0.9242 
870  -1.7516  -0.9118 
871  -1.736  -0.9058 
872  -1.7476  -0.908 
873  -1.7472  -0.9118 
874  -1.7328  -0.9074 
875  -1.7452  -0.9064 
876  -1.7508  -0.9136 
877  -1.738  -0.91 
878  -1.7404  -0.9064 
879  -1.7368  -0.907 
880  -1.7288  -0.901 
881  -1.732  -0.9072 
882  -1.7212  -0.9014 
883  -1.7488  -0.912 
884  -1.7388  -0.9036 
885  -1.7392  -0.91 
886  -1.7472  -0.9098 
887  -1.746  -0.9112 
888  -1.7532  -0.915 
889  -1.76  -0.9202 
890  -1.7424  -0.9154 
891  -1.7664  -0.9212 
892  -1.6932  -0.9012 
893  -1.7388  -0.9128 
894  -1.726  -0.9062 
895  -1.7348  -0.9162 
896  -1.7432  -0.9154 
897  -1.748  -0.9112 
898  -1.7504  -0.919 
899  -1.7632  -0.9176 
900  -1.7624  -0.9172 
901  -1.7476  -0.911 
902  -1.7604  -0.9174 
903  -1.7616  -0.9204 
904  -1.7864  -0.9314 
905  -1.772  -0.9258 
906  -1.7656  -0.9214 
907  -1.756  -0.921 
908  -1.7748  -0.9268 
909  -1.75  -0.9144 
910  -1.7368  -0.907 
911  -1.7184  -0.9006 
912  -1.7436  -0.9106 
913  -1.7584  -0.9184 
914  -1.77  -0.9256 
915  -1.7628  -0.9226 
916  -1.7724  -0.9296 
917  -1.7548  -0.9168 
918  -1.756  -0.9196 
919  -1.7536  -0.9146 
920  -1.764  -0.9218 
921  -1.7608  -0.92 
922  -1.7604  -0.923 
923  -1.73  -0.9078 
924  -1.7612  -0.9206 
